Drug Name	National Drug Code (NDC)
Diazepam	51862-064
Diazepam	51862-941
Diazepam	51862-942
Diazepam	51862-943
Diazepam	52584-213
Diazepam	52584-273
Diazepam	55154-5074
Diazepam	55154-5554
Diazepam	55154-7885
Diazepam	55289-092
Diazepam	55700-442
Diazepam	58118-0640
Diazepam	58118-3925
Diazepam	58118-3926
Diazepam	58118-3927
Diazepam	60760-927
Diazepam	60760-934
Diazepam	61919-071
Diazepam	61919-088
Diazepam	61919-088
Diazepam	61919-131
Diazepam	61919-131
Diazepam	61919-131
Diazepam	61919-131
Diazepam	61919-409
Diazepam	61919-409
Diazepam	61919-409
Diazepam	61919-409
Diazepam	61919-409
Diazepam	61919-409
Diazepam	61919-906
Diazepam	63187-173
Diazepam	63187-309
Diazepam	63187-544
Diazepam	63187-846
Diazepam	63187-867
Diazepam	63629-1523
Diazepam	63629-2948
Diazepam	63629-7851
Diazepam	63629-8192
Diazepam	63739-073
Diazepam	66267-776
Diazepam	66490-650
Diazepam	67046-943
Diazepam	67046-944
Diazepam	67046-945
Diazepam	67046-946
Diazepam	67046-947
Diazepam	67296-0084
Diazepam	67296-0291
Diazepam	67296-1349
Diazepam	67544-019
Diazepam	67544-020
Diazepam	68071-3270
Diazepam	68071-3330
Diazepam	68071-4181
Diazepam	68071-4770
Diazepam	68071-4829
Diazepam	68071-4899
Diazepam	68071-4922
Diazepam	68094-750
Diazepam	68682-650
Diazepam	68682-652
Diazepam	68682-655
Diazepam	68788-6851
Diazepam	68788-7452
Diazepam	68788-9207
Diazepam	68788-9208
Diazepam	69339-136
Diazepam	69339-137
Diazepam	70518-0014
Diazepam	70518-0162
Diazepam	70518-1713
Diazepam	70518-1856
Diazepam	70518-2358
Diazepam	71335-0142
Diazepam	71335-0444
Diazepam	71335-0495
Diazepam	71335-0616
Diazepam	71335-1584
Diazepam	71610-270
Diazepam	71610-424
Diazepam	71610-427
Diazepam	71610-459
Diazepam	71610-460
Diazepam	72252-505
Diazepam	72252-510
Diazepam	72252-515
Diazepam	72252-520
Diazepam	72572-140
Diazepam	0254-1010
Diazepam	0575-6200
Diazepam	13517-100
Divalproex	0074-3826
Divalproex	0074-6114
Divalproex	0074-6212
Divalproex	0074-6214
Divalproex	0074-6215
Divalproex	0074-7126
Divalproex	0378-0472
Divalproex	0378-0473
Divalproex	0615-7949
Divalproex	0615-7950
Divalproex	0615-7956
Divalproex	0615-8237
Divalproex	0615-8242
Divalproex	0615-8326
Divalproex	0615-8327
Divalproex	0615-8328
Divalproex	0615-8329
Divalproex	0615-8330
Divalproex	0781-2243
Divalproex	0832-7122
Divalproex	0832-7123
Divalproex	0832-7124
Divalproex	0904-6363
Divalproex	0904-6364
Divalproex	0904-6615
Divalproex	0904-6860
Divalproex	0904-6861
Divalproex	10370-510
Divalproex	10370-511
Divalproex	16714-484
Divalproex	16714-485
Divalproex	17856-0109
Divalproex	27241-115
Divalproex	29300-138
Divalproex	29300-139
Divalproex	29300-140
Divalproex	43063-295
Divalproex	43353-547
Divalproex	48433-125
Divalproex	48433-126
Divalproex	50090-2007
Divalproex	50090-3416
Divalproex	50090-3616
Divalproex	50090-4187
Divalproex	50090-4409
Divalproex	50090-4737
Divalproex	50090-4861
Divalproex	50268-258
Divalproex	51079-766
Divalproex	51079-767
Divalproex	51655-365
Divalproex	55111-529
Divalproex	55111-530
Divalproex	55111-531
Divalproex	55111-532
Divalproex	55111-533
Divalproex	55111-534
Divalproex	55154-4679
Divalproex	55154-4759
Divalproex	55154-7145
Divalproex	55154-7640
Divalproex	57237-047
Divalproex	57237-048
Divalproex	57237-106
Divalproex	58118-0040
Divalproex	60687-211
Divalproex	61919-648
Divalproex	62756-796
Divalproex	62756-797
Divalproex	62756-798
Divalproex	63187-742
Divalproex	63187-743
Divalproex	63629-4278
Divalproex	63629-4698
Divalproex	63629-7091
Divalproex	64679-724
Divalproex	64679-725
Divalproex	65162-755
Divalproex	65162-757
Divalproex	65841-634
Divalproex	65841-635
Divalproex	65841-636
Divalproex	65841-637
Divalproex	65841-638
Divalproex	65841-639
Divalproex	65862-402
Divalproex	65862-403
Divalproex	65862-594
Divalproex	65862-595
Divalproex	65862-959
Divalproex	67046-105
Divalproex	67046-141
Divalproex	67046-145
Divalproex	67046-147
Divalproex	67296-1635
Divalproex	67296-1677
Divalproex	68001-105
Divalproex	68001-106
Divalproex	68071-4102
Divalproex	68084-310
Divalproex	68084-313
Divalproex	68084-415
Divalproex	68084-776
Divalproex	68084-782
Divalproex	68180-260
Divalproex	68180-261
Divalproex	68180-265
Divalproex	68180-266
Divalproex	68180-267
Divalproex	68382-031
Divalproex	68382-032
Divalproex	68382-033
Divalproex	68382-106
Divalproex	68382-133
Divalproex	68382-134
Divalproex	68788-7177
Divalproex	68788-7183
Divalproex	68788-7295
Divalproex	70518-0312
Divalproex	70518-0374
Divalproex	70518-0463
Divalproex	70518-0613
Divalproex	70518-1454
Divalproex	70518-1456
Divalproex	70518-1556
Divalproex	70518-1558
Divalproex	70518-1749
Divalproex	70518-1758
Divalproex	70518-1759
Divalproex	70518-1897
Divalproex	70518-2003
Divalproex	70518-2017
Divalproex	70518-2033
Divalproex	70518-2036
Divalproex	70518-2357
Divalproex	70518-2497
Divalproex	70518-2510
Divalproex	70518-2513
Divalproex	70518-2527
Divalproex	70518-2626
Divalproex	70518-2665
Divalproex	70518-2674
Divalproex	71335-0008
Divalproex	71610-030
Divalproex	71610-031
Divalproex	71610-032
Divalproex	71610-157
Divalproex	71610-201
Divalproex	71610-205
Divalproex	71610-249
Divalproex	71610-289
Divalproex	71610-311
Escitalopram	0093-5850
Escitalopram	0093-5851
Escitalopram	0093-5852
Escitalopram	0121-0852
Escitalopram	0456-2005
Escitalopram	0456-2010
Escitalopram	0456-2020
Escitalopram	0615-7953
Escitalopram	0615-7954
Escitalopram	0615-7955
Escitalopram	0615-8348
Escitalopram	0615-8349
Escitalopram	0615-8350
Escitalopram	0904-6426
Escitalopram	0904-6427
Escitalopram	13668-135
Escitalopram	13668-136
Escitalopram	13668-137
Escitalopram	16729-168
Escitalopram	16729-169
Escitalopram	16729-170
Escitalopram	17856-0551
Escitalopram	31722-569
Escitalopram	33342-036
Escitalopram	33342-037
Escitalopram	33342-038
Escitalopram	33342-053
Escitalopram	42708-022
Escitalopram	42708-023
Escitalopram	42708-077
Escitalopram	43063-521
Escitalopram	43063-661
Escitalopram	43063-761
Escitalopram	43547-280
Escitalopram	43547-281
Escitalopram	43547-282
Escitalopram	45865-699
Escitalopram	45865-996
Escitalopram	50090-1930
Escitalopram	50090-2196
Escitalopram	50090-4363
Escitalopram	50090-4915
Escitalopram	50090-5131
Escitalopram	50090-5312
Escitalopram	50436-0170
Escitalopram	51655-284
Escitalopram	51672-1348
Escitalopram	54458-891
Escitalopram	54458-892
Escitalopram	54838-551
Escitalopram	55154-6649
Escitalopram	55154-6893
Escitalopram	55154-7288
Escitalopram	55289-768
Escitalopram	55289-828
Escitalopram	55700-506
Escitalopram	55700-507
Escitalopram	55700-818
Escitalopram	55700-847
Escitalopram	59746-279
Escitalopram	59746-280
Escitalopram	59746-281
Escitalopram	60760-156
Escitalopram	60760-157
Escitalopram	60760-170
Escitalopram	60760-393
Escitalopram	61919-139
Escitalopram	61919-227
Escitalopram	61919-652
Escitalopram	63187-217
Escitalopram	63187-281
Escitalopram	63629-2981
Escitalopram	63629-6325
Escitalopram	63629-6351
Escitalopram	63629-6425
Escitalopram	63629-8042
Escitalopram	63629-8241
Escitalopram	65162-019
Escitalopram	65162-020
Escitalopram	65162-021
Escitalopram	65162-705
Escitalopram	65862-248
Escitalopram	65862-373
Escitalopram	65862-374
Escitalopram	65862-375
Escitalopram	67046-174
Escitalopram	67046-355
Escitalopram	67296-1200
Escitalopram	67296-1528
Escitalopram	67296-1597
Escitalopram	67296-1689
Escitalopram	67296-1731
Escitalopram	68001-195
Escitalopram	68001-196
Escitalopram	68001-197
Escitalopram	68001-454
Escitalopram	68001-455
Escitalopram	68001-456
Escitalopram	68071-2035
Escitalopram	68071-2051
Escitalopram	68071-3069
Escitalopram	68071-3265
Escitalopram	68071-4984
Escitalopram	68071-4985
Escitalopram	68071-5248
Escitalopram	68084-617
Escitalopram	68084-618
Escitalopram	68180-135
Escitalopram	68180-136
Escitalopram	68180-137
Escitalopram	68382-102
Escitalopram	68382-103
Escitalopram	68382-104
Escitalopram	68645-519
Escitalopram	68645-520
Escitalopram	68788-6783
Escitalopram	68788-6978
Escitalopram	68788-7179
Escitalopram	68788-7461
Escitalopram	68788-7510
Escitalopram	68788-7559
Escitalopram	69097-847
Escitalopram	69097-848
Escitalopram	69097-849
Escitalopram	69844-033
Escitalopram	69844-034
Escitalopram	69844-035
Escitalopram	70518-0791
Escitalopram	70518-1110
Escitalopram	70518-1291
Escitalopram	70518-1785
Escitalopram	70518-1805
Escitalopram	70518-1876
Escitalopram	70518-2317
Escitalopram	70518-2362
Escitalopram	70518-2430
Escitalopram	70518-2472
Escitalopram	70518-2504
Escitalopram	70518-2521
Escitalopram	70518-2597
Escitalopram	70771-1145
Escitalopram	70771-1146
Escitalopram	70771-1147
Escitalopram	70934-060
Escitalopram	70934-089
Escitalopram	70934-112
Escitalopram	70934-163
Escitalopram	70934-348
Escitalopram	70934-630
Escitalopram	70934-646
Escitalopram	70934-650
Escitalopram	71205-168
Escitalopram	71205-193
Escitalopram	71205-313
Escitalopram	71205-325
Escitalopram	71205-344
Escitalopram	71335-0658
Escitalopram	71335-0685
Escitalopram	71335-1002
Escitalopram	71335-1030
Escitalopram	71335-1187
Escitalopram	71335-1307
Escitalopram	71335-1571
Escitalopram	71610-425
Escitalopram	76282-249
Escitalopram	76282-250
Escitalopram	76282-251
Fluoxetine	55111-0147-01
Fluoxetine	16714-0351-03
Fluoxetine	63304-0632-01
Fluoxetine	00093-1043-01
Fluoxetine	00172-4346-60
Fluoxetine	42543-0726-01
Fluoxetine	49884-0335-01
Fluoxetine	00093-7188-10
Fluoxetine	63304-0632-30
Fluoxetine	00172-4356-00
Fluoxetine	00378-0735-93
Fluoxetine	16714-0352-02
Fluoxetine	42543-0727-30
Fluoxetine	00378-5410-28
Fluoxetine	31722-0903-05
Fluoxetine	13668-0473-91
Fluoxetine	49884-0733-10
Fluoxetine	00172-4510-60
Fluoxetine	55111-0149-01
Fluoxetine	00781-2828-08
Fluoxetine	16714-0352-03
Fluoxetine	00378-4350-93
Fluoxetine	00406-0661-01
Fluoxetine	00406-0663-05
Fluoxetine	13668-0473-30
Fluoxetine	62332-0243-31
Fluoxetine	00093-4346-56
Fluoxetine	50111-0647-03
Fluoxetine	00781-2824-10
Fluoxetine	00093-4356-01
Fluoxetine	43598-0566-30
Fluoxetine	00378-0734-93
Fluoxetine	49884-0743-01
Fluoxetine	65862-0194-05
Fluoxetine	00093-4356-05
Fluoxetine	62332-0024-30
Fluoxetine	55111-0150-01
Fluoxetine	38779-0013-05
Fluoxetine	31722-0904-10
Fluoxetine	00093-7198-05
Fluoxetine	00378-5420-28
Fluoxetine	00781-2823-10
Fluoxetine	16714-0352-01
Fluoxetine	00555-0877-07
Fluoxetine	49884-0743-11
Fluoxetine	50268-0333-15
Fluoxetine	49884-0734-82
Fluoxetine	55111-0150-10
Fluoxetine	31722-0904-05
Fluoxetine	50111-0648-02
Fluoxetine	42543-0725-01
Fluoxetine	50228-0113-10
Fluoxetine	65862-0192-99
Fluoxetine	42543-0727-01
Fluoxetine	62332-0242-31
Fluoxetine	50228-0115-01
Fluoxetine	00093-6108-12
Fluoxetine	55111-0150-30
Fluoxetine	75834-0148-30
Fluoxetine	68180-0997-06
Fluoxetine	00555-0877-02
Fluoxetine	00555-0876-02
Fluoxetine	16714-0351-02
Fluoxetine	62332-0022-31
Fluoxetine	00093-4356-93
Fluoxetine	00781-2824-01
Fluoxetine	00406-0663-01
Fluoxetine	68084-0605-01
Fluoxetine	00781-2823-01
Fluoxetine	00406-0667-01
Fluoxetine	00832-0402-30
Fluoxetine	50228-0114-10
Fluoxetine	65862-0194-01
Fluoxetine	00172-4363-80
Fluoxetine	49884-0335-11
Fluoxetine	16714-0353-03
Fluoxetine	49884-0872-05
Fluoxetine	47781-0600-30
Fluoxetine	42543-0726-10
Fluoxetine	49909-0005-30
Fluoxetine	49884-0743-05
Fluoxetine	49884-0734-01
Fluoxetine	31722-0904-01
Fluoxetine	65862-0193-99
Fluoxetine	43598-0566-01
Fluoxetine	62332-0243-30
Fluoxetine	00555-0871-54
Fluoxetine	65862-0194-99
Fluoxetine	62332-0023-31
Fluoxetine	49884-0735-10
Fluoxetine	00904-5784-61
Fluoxetine	51927-3409-00
Fluoxetine	00904-5785-61
Fluoxetine	43598-0632-30
Fluoxetine	49884-0734-10
Fluoxetine	68645-0130-54
Fluoxetine	55111-0148-01
Fluoxetine	00093-7198-01
Fluoxetine	00121-0721-04
Fluoxetine	00406-0661-05
Fluoxetine	00832-0402-11
Fluoxetine	31722-0905-30
Fluoxetine	55111-0149-30
Fluoxetine	00121-4721-05
Fluoxetine	31722-0903-01
Fluoxetine	62332-0023-91
Fluoxetine	49884-0872-01
Fluoxetine	16714-0353-02
Fluoxetine	62332-0024-91
Fluoxetine	42543-0725-10
Fluoxetine	50228-0421-01
Fluoxetine	00781-2822-01
Fluoxetine	50111-0648-03
Fluoxetine	42543-0727-05
Fluoxetine	00093-0807-56
Fluoxetine	00172-4363-60
Fluoxetine	55111-0284-48
Fluoxetine	00832-0403-30
Fluoxetine	65862-0193-01
Fluoxetine	00093-7198-56
Fluoxetine	49884-0336-11
Fluoxetine	68084-0101-01
Fluoxetine	00555-0877-04
Fluoxetine	68001-0399-00
Fluoxetine	13668-0443-91
Fluoxetine	49884-0872-11
Fluoxetine	00378-0734-01
Fluoxetine	51079-0997-20
Fluoxetine	54838-0523-40
Fluoxetine	00093-4356-10
Fluoxetine	67544-0144-53
Fluoxetine	49884-0733-01
Fluoxetine	65862-0192-01
Fluoxetine	49884-0734-11
Fluoxetine	50111-0648-44
Fluoxetine	16714-0353-04
Fluoxetine	50228-0113-01
Fluoxetine	16714-0353-01
Fluoxetine	52427-0576-30
Fluoxetine	62332-0024-31
Fluoxetine	60505-0352-01
Fluoxetine	00172-4363-00
Fluoxetine	50228-0115-05
Fluoxetine	49884-0735-01
Fluoxetine	67544-0848-53
Fluoxetine	49884-0699-37
Fluoxetine	00093-5262-56
Fluoxetine	62991-2866-02
Fluoxetine	67544-0848-60
Fluoxetine	00378-4220-01
Fluoxetine	55111-0148-10
Fluoxetine	65862-0192-05
Fluoxetine	51672-5306-06
Fluoxetine	00406-0663-62
Fluoxetine	00781-2824-31
Fluoxetine	13668-0443-30
Fluoxetine	50111-0647-02
Fluoxetine	00172-4356-60
Fluoxetine	68001-0129-04
Fluoxetine	49884-0468-11
Fluoxetine	68001-0129-00
Fluoxetine	00093-1042-93
Fluoxetine	00555-0877-05
Fluoxetine	63304-0687-90
Fluoxetine	00172-4356-70
Fluoxetine	49884-0735-11
Fluoxetine	16590-0100-56
Fluoxetine	00781-2822-10
Fluoxetine	00378-4210-01
Fluoxetine	00093-1042-10
Fluoxetine	31722-0905-01
Fluoxetine	50111-0648-01
Fluoxetine	50228-0114-01
Fluoxetine	00093-1042-01
Fluoxetine	62332-0242-30
Fluoxetine	16714-0351-01
Fluoxetine	49884-0336-01
Fluoxetine	50228-0420-01
Fluoxetine	50111-0647-01
Fluoxetine	00172-4356-80
Fluoxetine	00378-0735-01
Fluoxetine	65862-0194-30
Fluoxetine	65862-0193-05
Fluoxetine	00093-7188-56
Fluoxetine	68001-0129-03
Fluoxetine	60432-0162-04
Fluoxetine	68645-0131-54
Fluoxetine	00093-0807-01
Fluoxetine	42291-0397-10
Guanfacine	24979-0533-01
Guanfacine	00603-3774-21
Guanfacine	60505-3930-01
Guanfacine	00093-5960-01
Guanfacine	00093-5963-01
Guanfacine	00591-0453-01
Guanfacine	24979-0534-01
Guanfacine	50268-0374-15
Guanfacine	00228-2855-11
Guanfacine	00093-5961-01
Guanfacine	42806-0296-01
Guanfacine	10370-0533-01
Guanfacine	42806-0048-01
Guanfacine	60505-3928-01
Guanfacine	00781-5457-01
Guanfacine	60505-3927-01
Guanfacine	24979-0538-01
Guanfacine	24658-0730-01
Guanfacine	00781-5452-01
Guanfacine	60505-3929-01
Guanfacine	10370-0536-01
Guanfacine	24979-0536-01
Guanfacine	00093-5964-01
Guanfacine	00378-1062-01
Guanfacine	49884-0573-01
Guanfacine	63304-0924-01
Guanfacine	63304-0926-01
Guanfacine	52152-0118-02
Guanfacine	00228-2851-11
Guanfacine	63304-0925-01
Guanfacine	00591-0444-01
Guanfacine	00378-1063-01
Guanfacine	00228-2850-11
Guanfacine	00228-2853-11
Guanfacine	68084-0748-25
Guanfacine	00781-5456-01
Guanfacine	00378-1065-01
Guanfacine	49884-0572-01
Guanfacine	42806-0049-01
Guanfacine	65162-0711-10
Guanfacine	42291-0310-90
Guanfacine	00378-1061-01
Guanfacine	10370-0538-01
Guanfacine	52152-0119-02
Guanfacine	00378-1190-01
Guanfacine	65162-0713-10
Guanfacine	00781-5451-01
Guanfacine	00378-1160-01
Guanfacine	10370-0534-01
Guanfacine	42291-0327-01
Guanfacine	63304-0927-01
Guanfacine	00904-6183-60
Lamotrigine	0115-1526
Lamotrigine	0115-1527
Lamotrigine	0115-1528
Lamotrigine	0115-1529
Lamotrigine	0115-9939
Lamotrigine	0115-9940
Lamotrigine	0115-9941
Lamotrigine	0115-9942
Lamotrigine	0143-9964
Lamotrigine	0143-9965
Lamotrigine	0143-9966
Lamotrigine	0143-9967
Lamotrigine	0173-0526
Lamotrigine	0173-0527
Lamotrigine	0173-0633
Lamotrigine	0173-0642
Lamotrigine	0173-0643
Lamotrigine	0173-0644
Lamotrigine	0173-0699
Lamotrigine	0173-0754
Lamotrigine	0173-0755
Lamotrigine	0173-0756
Lamotrigine	0173-0757
Lamotrigine	0173-0761
Lamotrigine	0173-0772
Lamotrigine	0173-0774
Lamotrigine	0173-0776
Lamotrigine	0173-0777
Lamotrigine	0173-0781
Lamotrigine	0228-1410
Lamotrigine	0228-1422
Lamotrigine	0228-1435
Lamotrigine	0228-1453
Lamotrigine	0228-1580
Lamotrigine	0228-1638
Lamotrigine	0615-7964
Lamotrigine	0615-7975
Lamotrigine	0615-8150
Lamotrigine	0615-8267
Lamotrigine	0904-7007
Lamotrigine	0904-7008
Lamotrigine	13668-045
Lamotrigine	13668-047
Lamotrigine	13668-048
Lamotrigine	13668-049
Lamotrigine	13668-339
Lamotrigine	13668-340
Lamotrigine	13668-341
Lamotrigine	13668-342
Lamotrigine	16714-623
Lamotrigine	16714-624
Lamotrigine	16714-625
Lamotrigine	16714-626
Lamotrigine	16714-627
Lamotrigine	16714-700
Lamotrigine	16714-701
Lamotrigine	16714-702
Lamotrigine	16714-703
Lamotrigine	16714-893
Lamotrigine	29300-111
Lamotrigine	29300-112
Lamotrigine	29300-113
Lamotrigine	29300-114
Lamotrigine	42291-366
Lamotrigine	42291-367
Lamotrigine	42291-368
Lamotrigine	42291-369
Lamotrigine	42291-443
Lamotrigine	42291-444
Lamotrigine	42291-445
Lamotrigine	42291-446
Lamotrigine	42291-447
Lamotrigine	42291-448
Lamotrigine	43063-202
Lamotrigine	43063-203
Lamotrigine	43063-238
Lamotrigine	43063-259
Lamotrigine	43598-550
Lamotrigine	43598-551
Lamotrigine	43598-552
Lamotrigine	43598-553
Lamotrigine	46708-095
Lamotrigine	46708-096
Lamotrigine	46708-274
Lamotrigine	46708-275
Lamotrigine	46708-276
Lamotrigine	46708-277
Lamotrigine	49884-484
Lamotrigine	49884-485
Lamotrigine	49884-486
Lamotrigine	49884-487
Lamotrigine	49884-561
Lamotrigine	49884-562
Lamotrigine	49884-563
Lamotrigine	49884-564
Lamotrigine	49884-604
Lamotrigine	49884-605
Lamotrigine	50090-2129
Lamotrigine	50090-3171
Lamotrigine	50090-3914
Lamotrigine	50090-4939
Lamotrigine	50228-319
Lamotrigine	50228-320
Lamotrigine	50228-321
Lamotrigine	50228-322
Lamotrigine	50436-0149
Lamotrigine	51407-060
Lamotrigine	51407-061
Lamotrigine	51407-062
Lamotrigine	51407-063
Lamotrigine	51672-4130
Lamotrigine	51672-4131
Lamotrigine	51672-4132
Lamotrigine	51672-4133
Lamotrigine	52817-240
Lamotrigine	52817-241
Lamotrigine	52817-242
Lamotrigine	52817-243
Lamotrigine	55111-220
Lamotrigine	55111-221
Lamotrigine	55111-222
Lamotrigine	55111-223
Lamotrigine	55111-225
Lamotrigine	55111-226
Lamotrigine	55111-419
Lamotrigine	55111-428
Lamotrigine	55111-717
Lamotrigine	55111-718
Lamotrigine	55111-719
Lamotrigine	55111-720
Lamotrigine	55154-2065
Lamotrigine	55154-8137
Lamotrigine	55154-8142
Lamotrigine	55289-410
Lamotrigine	55700-626
Lamotrigine	55700-683
Lamotrigine	58118-1111
Lamotrigine	58118-2148
Lamotrigine	59115-065
Lamotrigine	59115-066
Lamotrigine	59115-067
Lamotrigine	59115-068
Lamotrigine	59746-245
Lamotrigine	59746-246
Lamotrigine	59746-247
Lamotrigine	59746-248
Lamotrigine	59746-311
Lamotrigine	59746-312
Lamotrigine	60760-050
Lamotrigine	60760-549
Lamotrigine	61919-534
Lamotrigine	61919-802
Lamotrigine	62332-037
Lamotrigine	62332-038
Lamotrigine	62332-039
Lamotrigine	62332-040
Lamotrigine	62332-095
Lamotrigine	62332-096
Lamotrigine	63187-487
Lamotrigine	63187-744
Lamotrigine	63629-7020
Lamotrigine	63629-8283
Lamotrigine	63739-179
Lamotrigine	63739-670
Lamotrigine	64679-271
Lamotrigine	64679-272
Lamotrigine	64679-273
Lamotrigine	64679-274
Lamotrigine	64679-275
Lamotrigine	64980-400
Lamotrigine	64980-401
Lamotrigine	65084-179
Lamotrigine	65162-949
Lamotrigine	65162-956
Lamotrigine	65162-958
Lamotrigine	65162-986
Lamotrigine	65162-988
Lamotrigine	65162-990
Lamotrigine	65841-682
Lamotrigine	65841-683
Lamotrigine	65841-684
Lamotrigine	65841-685
Lamotrigine	65841-686
Lamotrigine	65841-687
Lamotrigine	65841-689
Lamotrigine	65841-690
Lamotrigine	65862-227
Lamotrigine	65862-228
Lamotrigine	65862-229
Lamotrigine	65862-230
Lamotrigine	65862-361
Lamotrigine	65862-362
Lamotrigine	67877-164
Lamotrigine	67877-165
Lamotrigine	67877-166
Lamotrigine	67877-167
Lamotrigine	68084-318
Lamotrigine	68084-319
Lamotrigine	68382-006
Lamotrigine	68382-007
Lamotrigine	68382-008
Lamotrigine	68382-009
Lamotrigine	68382-010
Lamotrigine	68382-011
Lamotrigine	68382-108
Lamotrigine	68382-109
Lamotrigine	68382-979
Lamotrigine	68382-980
Lamotrigine	68382-981
Lamotrigine	68382-982
Lamotrigine	68382-983
Lamotrigine	68382-984
Lamotrigine	68462-228
Lamotrigine	68462-229
Lamotrigine	68788-6868
Lamotrigine	68788-7168
Lamotrigine	68788-7178
Lamotrigine	68788-7223
Lamotrigine	68788-7278
Lamotrigine	68788-7465
Lamotrigine	68788-7544
Lamotrigine	68788-7647
Lamotrigine	69097-148
Lamotrigine	69097-149
Lamotrigine	69097-151
Lamotrigine	69097-152
Lamotrigine	69102-150
Lamotrigine	69102-301
Lamotrigine	69102-319
Lamotrigine	69102-320
Lamotrigine	69102-639
Lamotrigine	70518-1181
Lamotrigine	70518-1479
Lamotrigine	70518-1523
Lamotrigine	70518-1908
Lamotrigine	70518-1978
Lamotrigine	70518-2019
Lamotrigine	70518-2093
Lamotrigine	70518-2343
Lamotrigine	70518-2406
Lamotrigine	70518-2473
Lamotrigine	70518-2503
Lamotrigine	70518-2535
Lamotrigine	70518-2563
Lamotrigine	70518-2577
Lamotrigine	70518-2645
Lamotrigine	70518-2697
Lamotrigine	70518-2716
Lamotrigine	70518-2755
Lamotrigine	70518-2889
Lamotrigine	70771-1514
Lamotrigine	70771-1515
Lamotrigine	70771-1516
Lamotrigine	70771-1517
Lamotrigine	70771-1518
Lamotrigine	70771-1519
Lamotrigine	71205-245
Lamotrigine	71335-0706
Lamotrigine	71335-0830
Lamotrigine	71335-1110
Lamotrigine	71335-1179
Lamotrigine	71335-1469
Lamotrigine	71335-1579
Lamotrigine	72189-063
Lamotrigine	76420-182
Lamotrigine	76519-1150
Lamotrigine	76519-1151
Lamotrigine	76519-1165
Lorazepam	0054-3532
Lorazepam	0121-0770
Lorazepam	0187-0063
Lorazepam	0187-0064
Lorazepam	0187-0065
Lorazepam	0409-1539
Lorazepam	0409-1985
Lorazepam	0409-6778
Lorazepam	0409-6778
Lorazepam	0409-6779
Lorazepam	0409-6780
Lorazepam	0591-0240
Lorazepam	0591-0241
Lorazepam	0591-0242
Lorazepam	0615-8075
Lorazepam	0615-8076
Lorazepam	0615-8077
Lorazepam	0641-6000
Lorazepam	0641-6001
Lorazepam	0641-6002
Lorazepam	0641-6003
Lorazepam	0641-6044
Lorazepam	0641-6045
Lorazepam	0641-6046
Lorazepam	0641-6047
Lorazepam	0641-6048
Lorazepam	0641-6049
Lorazepam	0641-6050
Lorazepam	0641-6051
Lorazepam	0641-6207
Lorazepam	0781-5371
Lorazepam	0781-5377
Lorazepam	0781-5379
Lorazepam	0904-6007
Lorazepam	0904-6008
Lorazepam	0904-6009
Lorazepam	13107-083
Lorazepam	13107-084
Lorazepam	13107-085
Lorazepam	17478-040
Lorazepam	17856-2059
Lorazepam	17856-3532
Lorazepam	43063-048
Lorazepam	43063-057
Lorazepam	43353-255
Lorazepam	45865-499
Lorazepam	50090-0272
Lorazepam	50090-3462
Lorazepam	50090-4001
Lorazepam	50090-4157
Lorazepam	50090-4191
Lorazepam	50383-705
Lorazepam	54348-028
Lorazepam	54348-049
Lorazepam	55154-7975
Lorazepam	55154-7976
Lorazepam	55289-402
Lorazepam	55289-487
Lorazepam	55289-594
Lorazepam	55700-745
Lorazepam	55700-778
Lorazepam	58118-0904
Lorazepam	58118-1095
Lorazepam	58118-1096
Lorazepam	60687-355
Lorazepam	60687-367
Lorazepam	60687-401
Lorazepam	60760-457
Lorazepam	60760-516
Lorazepam	61919-062
Lorazepam	61919-062
Lorazepam	61919-607
Lorazepam	63187-536
Lorazepam	63187-576
Lorazepam	63629-8174
Lorazepam	63629-8185
Lorazepam	63629-8223
Lorazepam	65084-441
Lorazepam	65084-442
Lorazepam	65084-443
Lorazepam	65162-687
Lorazepam	66267-133
Lorazepam	66267-835
Lorazepam	67046-888
Lorazepam	67046-924
Lorazepam	67296-0143
Lorazepam	67296-1060
Lorazepam	67296-1228
Lorazepam	67296-1332
Lorazepam	67296-1539
Lorazepam	67296-1540
Lorazepam	67296-1622
Lorazepam	67296-1629
Lorazepam	67544-142
Lorazepam	67544-191
Lorazepam	67544-261
Lorazepam	68071-3096
Lorazepam	68071-3121
Lorazepam	68071-3227
Lorazepam	68071-3242
Lorazepam	68071-4882
Lorazepam	68071-4916
Lorazepam	68071-4918
Lorazepam	68071-5022
Lorazepam	68071-5048
Lorazepam	68071-5061
Lorazepam	68071-5068
Lorazepam	68071-5084
Lorazepam	68071-5137
Lorazepam	68071-5250
Lorazepam	68788-7355
Lorazepam	68788-7428
Lorazepam	68788-7480
Lorazepam	68788-7533
Lorazepam	69315-904
Lorazepam	69315-905
Lorazepam	69315-906
Lorazepam	70166-260
Lorazepam	70518-0275
Lorazepam	70518-0445
Lorazepam	70518-0486
Lorazepam	70518-1431
Lorazepam	70518-1520
Lorazepam	70518-1679
Lorazepam	70518-2186
Lorazepam	70518-2194
Lorazepam	70518-2239
Lorazepam	70518-2268
Lorazepam	70518-2442
Lorazepam	70518-2799
Lorazepam	70934-782
Lorazepam	71205-166
Lorazepam	71205-200
Lorazepam	71205-228
Lorazepam	71205-235
